1,Britni Castana,6973208444,101
2,Damien Joysey,8705284252,102
3,Levy Payn,1168857449,103
4,Lazar Turnor,2557098965,104
5,Astrix Denyer,2496155670,201
6,Currey Pappin,2371420743,202
7,Karla Fominov,5753213286,203
8,Miner Krysztofiak,918299772,204
9,Cinderella Piggen,648044033,301
10,Phillida Ganiclef,8263400910,302
11,Gilles Brunet,4909998675,303
12,Erna Laurenty,925253774,304
13,Ase McLachlan,2358107441,401
14,Fidel Dewberry,4153959138,402
15,Carrol Bartoszek,727601652,403
16,Lolita Fassbindler,2677745259,404
17,Rudd Thomasson,4000461966,501
18,Werner Reina,6572524124,502
19,Cyb Gladdin,5606803828,503
20,Marylin Margetson,7447533009,504
